Park,Date/Time,Wait Time
Disneyland,4/4/2024 13:00,41
Disneyland,4/4/2024 13:05,40
Disneyland,4/4/2024 13:10,39
Disneyland,4/4/2024 13:15,41
Disneyland,4/4/2024 13:20,41
Disneyland,4/4/2024 13:25,39
Disneyland,4/4/2024 13:30,38
Disneyland,4/4/2024 13:35,37
Disneyland,4/4/2024 13:40,36
Disneyland,4/4/2024 13:45,36
Disneyland,4/4/2024 13:50,38
Disneyland,4/4/2024 13:55,36
Disneyland,4/4/2024 14:00,37
Disneyland,4/4/2024 14:05,39
Disneyland,4/4/2024 14:10,40
Disneyland,4/4/2024 14:15,40
Disneyland,4/4/2024 14:20,40
Disneyland,4/4/2024 14:25,41
Disneyland,4/4/2024 14:30,41
Disneyland,4/4/2024 14:35,41
Disneyland,4/4/2024 14:40,40
Disneyland,4/4/2024 14:45,41
Disneyland,4/4/2024 14:50,41
Disneyland,4/4/2024 14:55,40
Disneyland,4/4/2024 15:00,38
Disneyland,4/4/2024 15:05,39
Disneyland,4/4/2024 15:10,39
Disneyland,4/4/2024 15:15,40
Disneyland,4/4/2024 15:20,39
Disneyland,4/4/2024 15:25,38
Disneyland,4/4/2024 15:30,38
Disneyland,4/4/2024 15:35,36
Disneyland,4/4/2024 15:40,37
Disneyland,4/4/2024 15:45,37
Disneyland,4/4/2024 15:50,37
Disneyland,4/4/2024 15:55,39
Disneyland,4/4/2024 16:00,40
Disneyland,4/4/2024 16:05,44
Disneyland,4/4/2024 16:10,43
Disneyland,4/4/2024 16:15,43
Disneyland,4/4/2024 16:20,41
Disneyland,4/4/2024 16:25,42
Disneyland,4/4/2024 16:30,42
Disneyland,4/4/2024 16:35,42
Disneyland,4/4/2024 16:40,42
Disneyland,4/4/2024 16:45,40
Disneyland,4/4/2024 16:50,39
Disneyland,4/4/2024 16:55,39
Disneyland,4/4/2024 17:00,40
Disneyland,4/4/2024 17:05,40
Disneyland,4/4/2024 17:10,40
Disneyland,4/4/2024 17:15,39
Disneyland,4/4/2024 17:20,39
Disneyland,4/4/2024 17:25,39
Disneyland,4/4/2024 17:30,40
Disneyland,4/4/2024 17:35,38
Disneyland,4/4/2024 17:40,37
Disneyland,4/4/2024 17:45,38
Disneyland,4/4/2024 17:50,36
Disneyland,4/4/2024 17:55,32
Disneyland,4/4/2024 18:00,33
Disneyland,4/4/2024 18:05,33
Disneyland,4/4/2024 18:10,33
Disneyland,4/4/2024 18:15,32
Disneyland,4/4/2024 18:20,34
Disneyland,4/4/2024 18:25,37
Disneyland,4/4/2024 18:30,38
Disneyland,4/4/2024 18:35,39
Disneyland,4/4/2024 18:40,40
Disneyland,4/4/2024 18:45,39
Disneyland,4/4/2024 18:50,39
Disneyland,4/4/2024 18:55,37
Disneyland,4/4/2024 19:00,37
Disneyland,4/4/2024 19:05,35
Disneyland,4/4/2024 19:10,34
Disneyland,4/4/2024 19:15,33
Disneyland,4/4/2024 19:20,37
Disneyland,4/4/2024 19:25,37
Disneyland,4/4/2024 19:30,37
Disneyland,4/4/2024 19:35,33
Disneyland,4/4/2024 19:40,31
Disneyland,4/4/2024 19:45,31
Disneyland,4/4/2024 19:50,31
Disneyland,4/4/2024 19:55,31
Disneyland,4/4/2024 20:00,32
Disneyland,4/4/2024 20:05,30
Disneyland,4/4/2024 20:10,29
Disneyland,4/4/2024 20:15,28
Disneyland,4/4/2024 20:20,28
Disneyland,4/4/2024 20:25,29
Disneyland,4/4/2024 20:30,28
